Atmospheric.Condition,Roadway,Person.Type,Drug.Involvement,Race,Gender,Injury.Severity,region,Fatalities.in.crash,Alcohol.Results,agenew1,age_cat
Cloudy,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,49,41-50
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,48,41-50
Cloudy,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,27,26-30
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,46,41-50
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,All other races,Female,Fatal Injury (K),Northeast,1,0,39,31-40
Clear,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.13,18,16-25
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,51,51-60
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),Northeast,1,0,35,31-40
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,53,51-60
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,33,31-40
Rain,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0,27,26-30
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,69,61+
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,2,0.08,27,26-30
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,56,51-60
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0.08,26,26-30
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),West,1,0,33,31-40
Blowing Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,All other races,Male,Fatal Injury (K),South,1,0,49,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Female,Fatal Injury (K),West,1,0.22,23,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.12,28,26-30
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,19,16-25
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,2,0,22,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,1,0,47,41-50
Rain,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.15,55,51-60
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,58,51-60
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0.19,51,51-60
Snow,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,53,51-60
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0.1,73,61+
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),South,1,0,75,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),South,1,0,29,26-30
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,63,61+
Rain,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.02,28,26-30
Rain,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,69,61+
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,72,61+
Rain,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),West,2,0.22,19,16-25
Rain,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),West,2,0.22,19,16-25
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,77,61+
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.23,30,26-30
"Fog, Smog, Smoke",Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),South,1,0,20,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,2,0,17,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,37,31-40
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.13,20,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0.25,21,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),West,2,0.09,19,16-25
Snow,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,72,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,52,51-60
Snow,Urban-Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,88,61+
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),South,1,0,39,31-40
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,32,31-40
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),Northeast,1,0,40,31-40
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,80,61+
Rain,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,47,41-50
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0.21,53,51-60
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,20,16-25
Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,41,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0,32,31-40
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.16,51,51-60
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0.28,49,41-50
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,20,16-25
Cloudy,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,80,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,19,16-25
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,All other races,Male,Fatal Injury (K),South,1,0,35,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,27,26-30
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0.21,37,31-40
Cloudy,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,69,61+
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0,70,61+
Rain,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.01,53,51-60
Rain,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,53,51-60
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,26,26-30
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,Unknown,Male,Fatal Injury (K),West,2,0.03,48,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,81,61+
Cloudy,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0.16,21,16-25
Rain,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0.04,69,61+
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,37,31-40
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),Northeast,1,0.28,25,16-25
Clear,Rural-Unknown Rural,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,54,51-60
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,42,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,72,61+
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.23,59,51-60
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.06,77,61+
Snow,Urban-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,1,0,36,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),Northeast,1,0,28,26-30
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,17,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,20,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0.23,21,16-25
Severe Crosswinds,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,65,61+
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,44,41-50
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),West,1,0,69,61+
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,58,51-60
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),Northeast,1,0.3,37,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,33,31-40
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,72,61+
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.02,48,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),Northeast,1,0,58,51-60
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,22,16-25
Rain,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,20,16-25
Snow,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,81,61+
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,59,51-60
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.13,33,31-40
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.25,43,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,80,61+
Snow,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,1,0,29,26-30
Snow,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.25,63,61+
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,2,0,18,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.22,31,31-40
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,2,0.18,26,26-30
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0,23,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0.04,32,31-40
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,1,0.26,36,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),Northeast,1,0.24,26,26-30
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,93,61+
Cloudy,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,Hawaiian (includes Part-Hawaiian),Female,Fatal Injury (K),West,1,0,41,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,19,16-25
Cloudy,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0.23,49,41-50
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.22,23,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,44,41-50
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,2,0,20,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,2,0,44,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,27,26-30
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,19,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),West,1,0.1,48,41-50
Cloudy,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),West,1,0,71,61+
Cloudy,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.04,56,51-60
"Sleet, Hail (Freezing Rain or Drizzle)",Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.12,39,31-40
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0,17,16-25
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Female,Fatal Injury (K),West,2,0.17,25,16-25
Cloudy,Rural-Minor Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.1,36,31-40
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,2,0,23,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),West,1,0,63,61+
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),Northeast,1,0,59,51-60
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),South,1,0.25,37,31-40
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.2,42,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),West,1,0,21,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,"Asian or Pacific Islander, no specific (individual) race",Male,Fatal Injury (K),West,1,0,65,61+
Cloudy,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,\N,Male,Fatal Injury (K),West,1,0.21,22,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,82,61+
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.13,48,41-50
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,26,26-30
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.13,20,16-25
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,23,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,21,16-25
Snow,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,53,51-60
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0.04,20,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,62,61+
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),Northeast,1,0,60,51-60
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,1,0,55,51-60
Snow,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,20,16-25
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,69,61+
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0,24,16-25
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,43,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.23,52,51-60
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.02,45,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.01,46,41-50
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,29,26-30
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,39,31-40
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0,21,16-25
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),Northeast,1,0,48,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0.18,19,16-25
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,92,61+
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0.25,21,16-25
Rain,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,90,61+
Snow,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.09,20,16-25
Cloudy,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,16,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,21,16-25
Rain,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.26,55,51-60
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),South,1,0.05,33,31-40
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0.26,26,26-30
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0.21,36,31-40
Cloudy,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,20,16-25
Rain,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,82,61+
Cloudy,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0,26,26-30
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,79,61+
Snow,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0.06,87,61+
Clear,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,85,61+
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),Northeast,2,0.19,33,31-40
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),Northeast,2,0.22,38,31-40
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,1,0,23,16-25
Cloudy,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),West,1,0.37,34,31-40
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),South,1,0,82,61+
Cloudy,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0.21,19,16-25
Clear,Urban-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,Filipino,Female,Fatal Injury (K),West,1,0.06,21,16-25
Snow,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,65,61+
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,28,26-30
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),West,2,0,18,16-25
Clear,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0.1,23,16-25
Cloudy,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,1,0,36,31-40
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),West,1,0,53,51-60
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.05,24,16-25
Cloudy,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),South,1,0,43,41-50
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Unknown,Hawaiian (includes Part-Hawaiian),Female,Fatal Injury (K),West,2,0,67,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Unknown,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),West,2,0,68,61+
Cloudy,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),West,4,0,20,16-25
Cloudy,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),West,4,0,21,16-25
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),Northeast,1,0.15,26,26-30
